Invoice_Id,Branch,City,Category,Unit_Price,Quantity,Date,Time,Payment_Method,Rating,Profit_Margin
1,XF003,San Antonio,Health and beauty,$74.69,7,05-01-2019,13:08:00,Ewallet,9.1,0.48
2,XF048,Harlingen,Electronic accessories,$15.28,5,08-03-2019,10:29:00,Cash,9.6,0.48
3,XF067,Haltom City,Home and lifestyle,$46.33,7,03-03-2019,13:23:00,Credit card,7.4,0.33
4,XF064,Bedford,Health and beauty,$58.22,8,27-01-2019,20:33:00,Ewallet,8.4,0.33
5,XF013,Irving,Sports and travel,$86.31,7,08-02-2019,10:37:00,Ewallet,5.3,0.48
6,XF026,Denton,Electronic accessories,$85.39,7,25-03-2019,18:30:00,Ewallet,4.1,0.48
7,XF088,Cleburne,Electronic accessories,$68.84,6,25-02-2019,14:36:00,Ewallet,5.8,0.33
8,XF100,Canyon,Home and lifestyle,$73.56,10,24-02-2019,11:38:00,Ewallet,8,0.18
9,XF066,Grapevine,Health and beauty,$36.26,2,10-01-2019,17:15:00,Credit card,7.2,0.33
10,XF065,Texas City,Food and beverages,$54.84,3,20-02-2019,13:27:00,Credit card,5.9,0.33
11,XF013,Irving,Fashion accessories,$14.48,4,06-02-2019,18:07:00,Ewallet,4.5,0.48
12,XF035,San Angelo,Electronic accessories,$25.51,4,09-03-2019,17:03:00,Cash,6.8,0.48
13,XF027,Abilene,Electronic accessories,$46.95,5,12-02-2019,10:25:00,Ewallet,7.1,0.48
14,XF035,San Angelo,Food and beverages,$43.19,10,07-02-2019,16:48:00,Ewallet,8.2,0.48
15,XF031,Lewisville,Health and beauty,$71.38,10,29-03-2019,19:21:00,Cash,5.7,0.48
16,XF008,Corpus Christi,Sports and travel,$93.72,6,15-01-2019,16:19:00,Cash,4.5,0.48
17,XF029,Round Rock,Health and beauty,$68.93,7,11-03-2019,11:03:00,Credit card,4.6,0.48
18,XF061,Cedar Park,Sports and travel,$72.61,6,01-01-2019,10:39:00,Credit card,6.9,0.33
19,XF053,Conroe,Food and beverages,$54.67,3,21-01-2019,18:00:00,Credit card,8.6,0.57
20,XF013,Irving,Home and lifestyle,$40.3,2,11-03-2019,15:30:00,Ewallet,4.4,0.48
21,XF044,Pharr,Electronic accessories,$86.04,5,25-02-2019,11:24:00,Ewallet,4.8,0.48
22,XF088,Cleburne,Health and beauty,$87.98,3,05-03-2019,10:40:00,Ewallet,5.1,0.33
23,XF083,Farmers Branch,Home and lifestyle,$33.2,2,15-03-2019,12:20:00,Credit card,4.4,0.33
24,XF067,Haltom City,Electronic accessories,$34.56,5,17-02-2019,11:15:00,Ewallet,9.9,0.33
25,XF023,Midland,Sports and travel,$88.63,3,02-03-2019,17:36:00,Ewallet,6,0.48
26,XF001,Houston,Home and lifestyle,$52.59,8,22-03-2019,19:20:00,Credit card,8.5,0.36
27,XF072,Lancaster,Fashion accessories,$33.52,1,08-02-2019,15:31:00,Cash,6.7,0.33
28,XF046,Temple,Fashion accessories,$87.67,2,10-03-2019,12:17:00,Credit card,7.7,0.48
29,XF012,Garland,Food and beverages,$88.36,5,25-01-2019,19:48:00,Cash,9.6,0.48
30,XF075,San Marcos,Health and beauty,$24.89,9,15-03-2019,15:36:00,Cash,7.4,0.33
31,XF076,Huntsville,Fashion accessories,$94.13,5,25-02-2019,19:39:00,Credit card,4.8,0.33
32,XF098,Mineral Wells,Sports and travel,$78.07,9,28-01-2019,12:43:00,Cash,4.5,0.18
33,XF021,McAllen,Sports and travel,$83.78,8,10-01-2019,14:49:00,Cash,5.1,0.48
34,XF096,Eagle Pass,Health and beauty,$96.58,2,15-03-2019,10:12:00,Credit card,5.1,0.18
35,XF022,Mesquite,Food and beverages,$99.42,4,06-02-2019,10:42:00,Ewallet,7.5,0.48
36,XF095,Big Spring,Sports and travel,$68.12,1,07-01-2019,12:28:00,Ewallet,6.8,0.33
37,XF041,Mission,Sports and travel,$62.62,5,10-03-2019,19:15:00,Ewallet,7,0.48
38,XF070,Hurst,Electronic accessories,$60.88,9,15-01-2019,17:17:00,Ewallet,4.7,0.33
39,XF070,Hurst,Health and beauty,$54.92,8,23-03-2019,13:24:00,Ewallet,7.6,0.33
40,XF030,Richardson,Home and lifestyle,$30.12,8,03-03-2019,13:01:00,Cash,7.7,0.48
41,XF033,Pearland,Home and lifestyle,$86.72,1,17-01-2019,18:45:00,Ewallet,7.9,0.48
42,XF088,Cleburne,Home and lifestyle,$56.11,2,02-02-2019,10:11:00,Cash,6.3,0.33
43,XF079,La Porte,Sports and travel,$69.12,6,08-02-2019,13:03:00,Cash,5.6,0.33
44,XF042,Bryan,Food and beverages,$98.7,8,04-03-2019,20:39:00,Cash,7.6,0.48
45,XF036,Allen,Health and beauty,$15.37,2,16-03-2019,19:47:00,Cash,7.2,0.48
46,XF056,Rowlett,Electronic accessories,$93.96,4,09-03-2019,18:00:00,Cash,9.5,0.33
47,XF058,Port Arthur,Health and beauty,$56.69,9,27-02-2019,17:24:00,Credit card,8.4,0.33
48,XF015,Grand Prairie,Food and beverages,$20.01,9,06-02-2019,15:47:00,Ewallet,4.1,0.48
49,XF063,Georgetown,Electronic accessories,$18.93,6,10-02-2019,12:45:00,Credit card,8.1,0.33
50,XF021,McAllen,Fashion accessories,$82.63,10,19-03-2019,17:08:00,Ewallet,7.9,0.48
51,XF089,Southlake,Food and beverages,$91.4,7,03-02-2019,10:19:00,Cash,9.5,0.33
52,XF093,Angleton,Food and beverages,$44.59,5,10-02-2019,15:10:00,Cash,8.5,0.33
53,XF041,Mission,Fashion accessories,$17.87,4,22-03-2019,14:42:00,Ewallet,6.5,0.48
54,XF045,Missouri City,Fashion accessories,$15.43,1,25-01-2019,15:46:00,Credit card,6.1,0.48
55,XF005,Fort Worth,Home and lifestyle,$16.16,2,07-03-2019,11:49:00,Ewallet,6.5,0.48
56,XF042,Bryan,Electronic accessories,$85.98,8,28-02-2019,19:01:00,Cash,8.2,0.48
57,XF003,San Antonio,Home and lifestyle,$44.34,2,27-03-2019,11:26:00,Cash,5.8,0.36
58,XF070,Hurst,Health and beauty,$89.6,8,07-02-2019,11:28:00,Ewallet,6.6,0.33
59,XF066,Grapevine,Home and lifestyle,$72.35,10,20-01-2019,15:55:00,Cash,5.4,0.33
60,XF031,Lewisville,Electronic accessories,$30.61,6,12-03-2019,20:36:00,Cash,9.3,0.48
61,XF042,Bryan,Sports and travel,$24.74,3,15-02-2019,17:47:00,Credit card,10,0.48
