invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Total_Amount
1,XF003,San Antonio,Health and beauty,74.69,7.0,05-01-2019,13:08:00,Ewallet,9.1,0.48,522.8299999999999
2,XF048,Harlingen,Electronic accessories,15.28,5.0,08-03-2019,10:29:00,Cash,9.6,0.48,76.39999999999999
3,XF067,Haltom City,Home and lifestyle,46.33,7.0,03-03-2019,13:23:00,Credit card,7.4,0.33,324.31
4,XF064,Bedford,Health and beauty,58.22,8.0,27-01-2019,20:33:00,Ewallet,8.4,0.33,465.76
5,XF013,Irving,Sports and travel,86.31,7.0,08-02-2019,10:37:00,Ewallet,5.3,0.48,604.1700000000001
6,XF026,Denton,Electronic accessories,85.39,7.0,25-03-2019,18:30:00,Ewallet,4.1,0.48,597.73
7,XF088,Cleburne,Electronic accessories,68.84,6.0,25-02-2019,14:36:00,Ewallet,5.8,0.33,413.04
8,XF100,Canyon,Home and lifestyle,73.56,10.0,24-02-2019,11:38:00,Ewallet,8.0,0.18,735.6
9,XF066,Grapevine,Health and beauty,36.26,2.0,10-01-2019,17:15:00,Credit card,7.2,0.33,72.52
10,XF065,Texas City,Food and beverages,54.84,3.0,20-02-2019,13:27:00,Credit card,5.9,0.33,164.52
11,XF013,Irving,Fashion accessories,14.48,4.0,06-02-2019,18:07:00,Ewallet,4.5,0.48,57.92
12,XF035,San Angelo,Electronic accessories,25.51,4.0,09-03-2019,17:03:00,Cash,6.8,0.48,102.04
13,XF027,Abilene,Electronic accessories,46.95,5.0,12-02-2019,10:25:00,Ewallet,7.1,0.48,234.75
14,XF035,San Angelo,Food and beverages,43.19,10.0,07-02-2019,16:48:00,Ewallet,8.2,0.48,431.9
15,XF031,Lewisville,Health and beauty,71.38,10.0,29-03-2019,19:21:00,Cash,5.7,0.48,713.8
16,XF008,Corpus Christi,Sports and travel,93.72,6.0,15-01-2019,16:19:00,Cash,4.5,0.48,562.3199999999999
17,XF029,Round Rock,Health and beauty,68.93,7.0,11-03-2019,11:03:00,Credit card,4.6,0.48,482.51000000000005
18,XF061,Cedar Park,Sports and travel,72.61,6.0,01-01-2019,10:39:00,Credit card,6.9,0.33,435.65999999999997
19,XF053,Conroe,Food and beverages,54.67,3.0,21-01-2019,18:00:00,Credit card,8.6,0.57,164.01
20,XF013,Irving,Home and lifestyle,40.3,2.0,11-03-2019,15:30:00,Ewallet,4.4,0.48,80.6
21,XF044,Pharr,Electronic accessories,86.04,5.0,25-02-2019,11:24:00,Ewallet,4.8,0.48,430.20000000000005
22,XF088,Cleburne,Health and beauty,87.98,3.0,05-03-2019,10:40:00,Ewallet,5.1,0.33,263.94
23,XF083,Farmers Branch,Home and lifestyle,33.2,2.0,15-03-2019,12:20:00,Credit card,4.4,0.33,66.4
24,XF067,Haltom City,Electronic accessories,34.56,5.0,17-02-2019,11:15:00,Ewallet,9.9,0.33,172.8
25,XF023,Midland,Sports and travel,88.63,3.0,02-03-2019,17:36:00,Ewallet,6.0,0.48,265.89
26,XF001,Houston,Home and lifestyle,52.59,8.0,22-03-2019,19:20:00,Credit card,8.5,0.36,420.72
27,XF072,Lancaster,Fashion accessories,33.52,1.0,08-02-2019,15:31:00,Cash,6.7,0.33,33.52
28,XF046,Temple,Fashion accessories,87.67,2.0,10-03-2019,12:17:00,Credit card,7.7,0.48,175.34
29,XF012,Garland,Food and beverages,88.36,5.0,25-01-2019,19:48:00,Cash,9.6,0.48,441.8
30,XF075,San Marcos,Health and beauty,24.89,9.0,15-03-2019,15:36:00,Cash,7.4,0.33,224.01
31,XF076,Huntsville,Fashion accessories,94.13,5.0,25-02-2019,19:39:00,Credit card,4.8,0.33,470.65
32,XF098,Mineral Wells,Sports and travel,78.07,9.0,28-01-2019,12:43:00,Cash,4.5,0.18,702.6299999999999
33,XF021,McAllen,Sports and travel,83.78,8.0,10-01-2019,14:49:00,Cash,5.1,0.48,670.24
34,XF096,Eagle Pass,Health and beauty,96.58,2.0,15-03-2019,10:12:00,Credit card,5.1,0.18,193.16
35,XF022,Mesquite,Food and beverages,99.42,4.0,06-02-2019,10:42:00,Ewallet,7.5,0.48,397.68
36,XF095,Big Spring,Sports and travel,68.12,1.0,07-01-2019,12:28:00,Ewallet,6.8,0.33,68.12
37,XF041,Mission,Sports and travel,62.62,5.0,10-03-2019,19:15:00,Ewallet,7.0,0.48,313.09999999999997
38,XF070,Hurst,Electronic accessories,60.88,9.0,15-01-2019,17:17:00,Ewallet,4.7,0.33,547.9200000000001
39,XF070,Hurst,Health and beauty,54.92,8.0,23-03-2019,13:24:00,Ewallet,7.6,0.33,439.36
40,XF030,Richardson,Home and lifestyle,30.12,8.0,03-03-2019,13:01:00,Cash,7.7,0.48,240.96
41,XF033,Pearland,Home and lifestyle,86.72,1.0,17-01-2019,18:45:00,Ewallet,7.9,0.48,86.72
42,XF088,Cleburne,Home and lifestyle,56.11,2.0,02-02-2019,10:11:00,Cash,6.3,0.33,112.22
43,XF079,La Porte,Sports and travel,69.12,6.0,08-02-2019,13:03:00,Cash,5.6,0.33,414.72
44,XF042,Bryan,Food and beverages,98.7,8.0,04-03-2019,20:39:00,Cash,7.6,0.48,789.6
45,XF036,Allen,Health and beauty,15.37,2.0,16-03-2019,19:47:00,Cash,7.2,0.48,30.74
46,XF056,Rowlett,Electronic accessories,93.96,4.0,09-03-2019,18:00:00,Cash,9.5,0.33,375.84
47,XF058,Port Arthur,Health and beauty,56.69,9.0,27-02-2019,17:24:00,Credit card,8.4,0.33,510.21
48,XF015,Grand Prairie,Food and beverages,20.01,9.0,06-02-2019,15:47:00,Ewallet,4.1,0.48,180.09
49,XF063,Georgetown,Electronic accessories,18.93,6.0,10-02-2019,12:45:00,Credit card,8.1,0.33,113.58
50,XF021,McAllen,Fashion accessories,82.63,10.0,19-03-2019,17:08:00,Ewallet,7.9,0.48,826.3
51,XF089,Southlake,Food and beverages,91.4,7.0,03-02-2019,10:19:00,Cash,9.5,0.33,639.8000000000001
52,XF093,Angleton,Food and beverages,44.59,5.0,10-02-2019,15:10:00,Cash,8.5,0.33,222.95000000000002
53,XF041,Mission,Fashion accessories,17.87,4.0,22-03-2019,14:42:00,Ewallet,6.5,0.48,71.48
54,XF045,Missouri City,Fashion accessories,15.43,1.0,25-01-2019,15:46:00,Credit card,6.1,0.48,15.43
55,XF005,Fort Worth,Home and lifestyle,16.16,2.0,07-03-2019,11:49:00,Ewallet,6.5,0.48,32.32
56,XF042,Bryan,Electronic accessories,85.98,8.0,28-02-2019,19:01:00,Cash,8.2,0.48,687.84
57,XF003,San Antonio,Home and lifestyle,44.34,2.0,27-03-2019,11:26:00,Cash,5.8,0.36,88.68
58,XF070,Hurst,Health and beauty,89.6,8.0,07-02-2019,11:28:00,Ewallet,6.6,0.33,716.8
59,XF066,Grapevine,Home and lifestyle,72.35,10.0,20-01-2019,15:55:00,Cash,5.4,0.33,723.5
60,XF031,Lewisville,Electronic accessories,30.61,6.0,12-03-2019,20:36:00,Cash,9.3,0.48,183.66
61,XF042,Bryan,Sports and travel,24.74,3.0,15-02-2019,17:47:00,Credit card,10.0,0.48,74.22
62,XF078,Del Rio,Home and lifestyle,55.73,6.0,24-02-2019,10:55:00,Ewallet,7.0,0.33,334.38
63,XF037,League City,Sports and travel,55.07,9.0,03-02-2019,13:40:00,Ewallet,10.0,0.48,495.63
64,XF069,Rockwall,Sports and travel,15.81,10.0,06-03-2019,12:27:00,Credit card,8.6,0.33,158.1
65,XF087,Waxahachie,Health and beauty,75.74,4.0,14-02-2019,14:35:00,Cash,7.6,0.33,302.96
66,XF042,Bryan,Health and beauty,15.87,10.0,13-03-2019,16:40:00,Cash,5.8,0.48,158.7
67,XF020,Killeen,Health and beauty,33.47,2.0,10-02-2019,15:43:00,Ewallet,6.7,0.48,66.94
68,XF029,Round Rock,Fashion accessories,97.61,6.0,07-01-2019,15:01:00,Ewallet,9.9,0.48,585.66
69,XF079,La Porte,Sports and travel,78.77,10.0,24-01-2019,10:04:00,Cash,6.4,0.33,787.6999999999999
70,XF035,San Angelo,Health and beauty,18.33,1.0,02-02-2019,18:50:00,Cash,4.3,0.48,18.33
71,XF007,Arlington,Food and beverages,89.48,10.0,06-01-2019,12:46:00,Credit card,9.6,0.48,894.8000000000001
72,XF017,McKinney,Fashion accessories,62.12,10.0,11-02-2019,16:19:00,Cash,5.9,0.48,621.1999999999999
73,XF096,Eagle Pass,Food and beverages,48.52,3.0,05-03-2019,18:17:00,Ewallet,4.0,0.18,145.56
74,XF083,Farmers Branch,Electronic accessories,75.91,6.0,09-03-2019,18:21:00,Cash,8.7,0.33,455.46
75,XF072,Lancaster,Home and lifestyle,74.67,9.0,22-01-2019,10:55:00,Ewallet,9.4,0.33,672.03
76,XF003,San Antonio,Electronic accessories,41.65,10.0,13-01-2019,17:04:00,Credit card,5.4,0.48,416.5
77,XF058,Port Arthur,Fashion accessories,49.04,9.0,09-01-2019,14:20:00,Credit card,8.6,0.33,441.36
78,XF094,Alamo,Fashion accessories,20.01,9.0,12-01-2019,15:48:00,Credit card,5.7,0.33,180.09
79,XF063,Georgetown,Food and beverages,78.31,10.0,05-03-2019,16:24:00,Ewallet,6.6,0.33,783.1
80,XF071,Lufkin,Health and beauty,20.38,5.0,22-01-2019,18:56:00,Cash,6.0,0.33,101.89999999999999
81,XF061,Cedar Park,Health and beauty,99.19,6.0,21-01-2019,14:42:00,Credit card,5.5,0.33,595.14
82,XF090,Brownwood,Food and beverages,96.68,3.0,26-01-2019,19:56:00,Ewallet,6.4,0.33,290.04
83,XF061,Cedar Park,Food and beverages,19.25,8.0,23-01-2019,18:37:00,Ewallet,6.6,0.33,154.0
84,XF041,Mission,Food and beverages,80.36,4.0,23-02-2019,18:45:00,Ewallet,8.3,0.48,321.44
85,XF097,Alice,Sports and travel,48.91,5.0,09-03-2019,10:17:00,Cash,6.6,0.18,244.54999999999998
86,XF043,Baytown,Sports and travel,83.06,7.0,05-03-2019,14:31:00,Ewallet,4.0,0.48,581.4200000000001
